prompt,clamp_value,word_category,word,token_id,logit_value,target_features,intervention_type
I think that,0.0,formal_low_emotion,perhaps,4153,0.2282208502292633,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,may,754,-2.794450521469116,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,however,2480,-3.884767532348633,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,therefore,4320,-4.22113037109375,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,consequently,23995,-4.975729465484619,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,moreover,541,-2.8233041763305664,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,accordingly,17159,-7.211433410644531,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,furthermore,2134,-3.010777235031128,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,profoundly,29160,-7.60040807723999,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,devastated,27668,-8.447659492492676,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,magnificent,16773,-6.404609680175781,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,appalling,573,-4.747313499450684,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,extraordinary,10035,-4.56761360168457,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,overwhelming,11734,-5.35273551940918,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,catastrophic,24769,-7.212813377380371,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,triumphant,15511,-4.3313140869140625,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,yeah,12191,-5.187953472137451,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,okay,10989,-4.059655666351318,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,kinda,21775,-3.7764923572540283,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,basically,8087,-4.426982402801514,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,anyway,8668,-1.931951642036438,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,whatever,5193,-1.5552395582199097,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,guess,5310,-7.4511542320251465,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,stuff,4269,-4.787719249725342,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,OMG,21978,-3.993553638458252,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,totally,7110,-5.065082550048828,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,literally,8642,-3.7005529403686523,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,seriously,7580,-5.0746660232543945,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,honestly,14483,-2.764317750930786,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,really,1196,-1.3245974779129028,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,absolutely,6270,-4.643393039703369,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,incredibly,9301,-5.073712348937988,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,perhaps,4153,0.2282208502292633,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,may,754,-2.794450521469116,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,however,2480,-3.884767532348633,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,therefore,4320,-4.22113037109375,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,consequently,23995,-4.975729465484619,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,moreover,541,-2.8233041763305664,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,accordingly,17159,-7.211433410644531,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,furthermore,2134,-3.010777235031128,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,profoundly,29160,-7.60040807723999,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,devastated,27668,-8.447659492492676,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,magnificent,16773,-6.404609680175781,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,appalling,573,-4.747313499450684,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,extraordinary,10035,-4.56761360168457,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,overwhelming,11734,-5.35273551940918,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,catastrophic,24769,-7.212813377380371,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,triumphant,15511,-4.3313140869140625,"[17512, 32616]",linear_weights
I think that,1.0,casual_low_emotion,yeah,12191,-5.187953472137451,"[17512, 32616]",linear_weights
I think that,1.0,casual_low_emotion,okay,10989,-4.059655666351318,"[17512, 32616]",linear_weights
I think that,1.0,casual_low_emotion,kinda,21775,-3.7764923572540283,"[17512, 32616]",linear_weights
I think that,1.0,casual_low_emotion,basically,8087,-4.426982402801514,"[17512, 32616]",linear_weights
I think that,1.0,casual_low_emotion,anyway,8668,-1.931951642036438,"[17512, 32616]",linear_weights
I think that,1.0,casual_low_emotion,whatever,5193,-1.5552395582199097,"[17512, 32616]",linear_weights
I think that,1.0,casual_low_emotion,guess,5310,-7.4511542320251465,"[17512, 32616]",linear_weights
I think that,1.0,casual_low_emotion,stuff,4269,-4.787719249725342,"[17512, 32616]",linear_weights
I think that,1.0,casual_high_emotion,OMG,21978,-3.993553638458252,"[17512, 32616]",linear_weights
I think that,1.0,casual_high_emotion,totally,7110,-5.065082550048828,"[17512, 32616]",linear_weights
I think that,1.0,casual_high_emotion,literally,8642,-3.7005529403686523,"[17512, 32616]",linear_weights
I think that,1.0,casual_high_emotion,seriously,7580,-5.0746660232543945,"[17512, 32616]",linear_weights
I think that,1.0,casual_high_emotion,honestly,14483,-2.764317750930786,"[17512, 32616]",linear_weights
I think that,1.0,casual_high_emotion,really,1196,-1.3245974779129028,"[17512, 32616]",linear_weights
I think that,1.0,casual_high_emotion,absolutely,6270,-4.643393039703369,"[17512, 32616]",linear_weights
I think that,1.0,casual_high_emotion,incredibly,9301,-5.073712348937988,"[17512, 32616]",linear_weights
I think that,2.0,formal_low_emotion,perhaps,4153,0.2282208502292633,"[17512, 32616]",linear_weights
I think that,2.0,formal_low_emotion,may,754,-2.794450521469116,"[17512, 32616]",linear_weights
I think that,2.0,formal_low_emotion,however,2480,-3.884767532348633,"[17512, 32616]",linear_weights
I think that,2.0,formal_low_emotion,therefore,4320,-4.22113037109375,"[17512, 32616]",linear_weights
I think that,2.0,formal_low_emotion,consequently,23995,-4.975729465484619,"[17512, 32616]",linear_weights
I think that,2.0,formal_low_emotion,moreover,541,-2.8233041763305664,"[17512, 32616]",linear_weights
I think that,2.0,formal_low_emotion,accordingly,17159,-7.211433410644531,"[17512, 32616]",linear_weights
I think that,2.0,formal_low_emotion,furthermore,2134,-3.010777235031128,"[17512, 32616]",linear_weights
I think that,2.0,formal_high_emotion,profoundly,29160,-7.60040807723999,"[17512, 32616]",linear_weights
I think that,2.0,formal_high_emotion,devastated,27668,-8.447659492492676,"[17512, 32616]",linear_weights
I think that,2.0,formal_high_emotion,magnificent,16773,-6.404609680175781,"[17512, 32616]",linear_weights
I think that,2.0,formal_high_emotion,appalling,573,-4.747313499450684,"[17512, 32616]",linear_weights
I think that,2.0,formal_high_emotion,extraordinary,10035,-4.56761360168457,"[17512, 32616]",linear_weights
I think that,2.0,formal_high_emotion,overwhelming,11734,-5.35273551940918,"[17512, 32616]",linear_weights
I think that,2.0,formal_high_emotion,catastrophic,24769,-7.212813377380371,"[17512, 32616]",linear_weights
I think that,2.0,formal_high_emotion,triumphant,15511,-4.3313140869140625,"[17512, 32616]",linear_weights
I think that,2.0,casual_low_emotion,yeah,12191,-5.187953472137451,"[17512, 32616]",linear_weights
I think that,2.0,casual_low_emotion,okay,10989,-4.059655666351318,"[17512, 32616]",linear_weights
I think that,2.0,casual_low_emotion,kinda,21775,-3.7764923572540283,"[17512, 32616]",linear_weights
I think that,2.0,casual_low_emotion,basically,8087,-4.426982402801514,"[17512, 32616]",linear_weights
I think that,2.0,casual_low_emotion,anyway,8668,-1.931951642036438,"[17512, 32616]",linear_weights
I think that,2.0,casual_low_emotion,whatever,5193,-1.5552395582199097,"[17512, 32616]",linear_weights
I think that,2.0,casual_low_emotion,guess,5310,-7.4511542320251465,"[17512, 32616]",linear_weights
I think that,2.0,casual_low_emotion,stuff,4269,-4.787719249725342,"[17512, 32616]",linear_weights
I think that,2.0,casual_high_emotion,OMG,21978,-3.993553638458252,"[17512, 32616]",linear_weights
I think that,2.0,casual_high_emotion,totally,7110,-5.065082550048828,"[17512, 32616]",linear_weights
I think that,2.0,casual_high_emotion,literally,8642,-3.7005529403686523,"[17512, 32616]",linear_weights
I think that,2.0,casual_high_emotion,seriously,7580,-5.0746660232543945,"[17512, 32616]",linear_weights
I think that,2.0,casual_high_emotion,honestly,14483,-2.764317750930786,"[17512, 32616]",linear_weights
I think that,2.0,casual_high_emotion,really,1196,-1.3245974779129028,"[17512, 32616]",linear_weights
I think that,2.0,casual_high_emotion,absolutely,6270,-4.643393039703369,"[17512, 32616]",linear_weights
I think that,2.0,casual_high_emotion,incredibly,9301,-5.073712348937988,"[17512, 32616]",linear_weights
I think that,4.0,formal_low_emotion,perhaps,4153,0.2282208502292633,"[17512, 32616]",linear_weights
I think that,4.0,formal_low_emotion,may,754,-2.794450521469116,"[17512, 32616]",linear_weights
I think that,4.0,formal_low_emotion,however,2480,-3.884767532348633,"[17512, 32616]",linear_weights
I think that,4.0,formal_low_emotion,therefore,4320,-4.22113037109375,"[17512, 32616]",linear_weights
I think that,4.0,formal_low_emotion,consequently,23995,-4.975729465484619,"[17512, 32616]",linear_weights
I think that,4.0,formal_low_emotion,moreover,541,-2.8233041763305664,"[17512, 32616]",linear_weights
I think that,4.0,formal_low_emotion,accordingly,17159,-7.211433410644531,"[17512, 32616]",linear_weights
I think that,4.0,formal_low_emotion,furthermore,2134,-3.010777235031128,"[17512, 32616]",linear_weights
I think that,4.0,formal_high_emotion,profoundly,29160,-7.60040807723999,"[17512, 32616]",linear_weights
I think that,4.0,formal_high_emotion,devastated,27668,-8.447659492492676,"[17512, 32616]",linear_weights
I think that,4.0,formal_high_emotion,magnificent,16773,-6.404609680175781,"[17512, 32616]",linear_weights
I think that,4.0,formal_high_emotion,appalling,573,-4.747313499450684,"[17512, 32616]",linear_weights
I think that,4.0,formal_high_emotion,extraordinary,10035,-4.56761360168457,"[17512, 32616]",linear_weights
I think that,4.0,formal_high_emotion,overwhelming,11734,-5.35273551940918,"[17512, 32616]",linear_weights
I think that,4.0,formal_high_emotion,catastrophic,24769,-7.212813377380371,"[17512, 32616]",linear_weights
I think that,4.0,formal_high_emotion,triumphant,15511,-4.3313140869140625,"[17512, 32616]",linear_weights
I think that,4.0,casual_low_emotion,yeah,12191,-5.187953472137451,"[17512, 32616]",linear_weights
I think that,4.0,casual_low_emotion,okay,10989,-4.059655666351318,"[17512, 32616]",linear_weights
I think that,4.0,casual_low_emotion,kinda,21775,-3.7764923572540283,"[17512, 32616]",linear_weights
I think that,4.0,casual_low_emotion,basically,8087,-4.426982402801514,"[17512, 32616]",linear_weights
I think that,4.0,casual_low_emotion,anyway,8668,-1.931951642036438,"[17512, 32616]",linear_weights
I think that,4.0,casual_low_emotion,whatever,5193,-1.5552395582199097,"[17512, 32616]",linear_weights
I think that,4.0,casual_low_emotion,guess,5310,-7.4511542320251465,"[17512, 32616]",linear_weights
I think that,4.0,casual_low_emotion,stuff,4269,-4.787719249725342,"[17512, 32616]",linear_weights
I think that,4.0,casual_high_emotion,OMG,21978,-3.993553638458252,"[17512, 32616]",linear_weights
I think that,4.0,casual_high_emotion,totally,7110,-5.065082550048828,"[17512, 32616]",linear_weights
I think that,4.0,casual_high_emotion,literally,8642,-3.7005529403686523,"[17512, 32616]",linear_weights
I think that,4.0,casual_high_emotion,seriously,7580,-5.0746660232543945,"[17512, 32616]",linear_weights
I think that,4.0,casual_high_emotion,honestly,14483,-2.764317750930786,"[17512, 32616]",linear_weights
I think that,4.0,casual_high_emotion,really,1196,-1.3245974779129028,"[17512, 32616]",linear_weights
I think that,4.0,casual_high_emotion,absolutely,6270,-4.643393039703369,"[17512, 32616]",linear_weights
I think that,4.0,casual_high_emotion,incredibly,9301,-5.073712348937988,"[17512, 32616]",linear_weights
The situation is,0.0,formal_low_emotion,perhaps,4153,0.46935808658599854,"[17512, 32616]",linear_weights
The situation is,0.0,formal_low_emotion,may,754,0.13700604438781738,"[17512, 32616]",linear_weights
The situation is,0.0,formal_low_emotion,however,2480,0.19996941089630127,"[17512, 32616]",linear_weights
The situation is,0.0,formal_low_emotion,therefore,4320,-1.0169132947921753,"[17512, 32616]",linear_weights
The situation is,0.0,formal_low_emotion,consequently,23995,-3.9816932678222656,"[17512, 32616]",linear_weights
The situation is,0.0,formal_low_emotion,moreover,541,2.66304874420166,"[17512, 32616]",linear_weights
The situation is,0.0,formal_low_emotion,accordingly,17159,-5.556465148925781,"[17512, 32616]",linear_weights
The situation is,0.0,formal_low_emotion,furthermore,2134,4.222172260284424,"[17512, 32616]",linear_weights
The situation is,0.0,formal_high_emotion,profoundly,29160,-4.7366838455200195,"[17512, 32616]",linear_weights
The situation is,0.0,formal_high_emotion,devastated,27668,-3.709967613220215,"[17512, 32616]",linear_weights
The situation is,0.0,formal_high_emotion,magnificent,16773,-6.083095073699951,"[17512, 32616]",linear_weights
The situation is,0.0,formal_high_emotion,appalling,573,-0.3312418460845947,"[17512, 32616]",linear_weights
The situation is,0.0,formal_high_emotion,extraordinary,10035,-0.27484047412872314,"[17512, 32616]",linear_weights
The situation is,0.0,formal_high_emotion,overwhelming,11734,0.35706979036331177,"[17512, 32616]",linear_weights
The situation is,0.0,formal_high_emotion,catastrophic,24769,-1.0999763011932373,"[17512, 32616]",linear_weights
The situation is,0.0,formal_high_emotion,triumphant,15511,-6.288301467895508,"[17512, 32616]",linear_weights
The situation is,0.0,casual_low_emotion,yeah,12191,-5.940290451049805,"[17512, 32616]",linear_weights
The situation is,0.0,casual_low_emotion,okay,10989,-0.13982224464416504,"[17512, 32616]",linear_weights
The situation is,0.0,casual_low_emotion,kinda,21775,-1.6115351915359497,"[17512, 32616]",linear_weights
The situation is,0.0,casual_low_emotion,basically,8087,-1.2414754629135132,"[17512, 32616]",linear_weights
The situation is,0.0,casual_low_emotion,anyway,8668,-2.0258936882019043,"[17512, 32616]",linear_weights
The situation is,0.0,casual_low_emotion,whatever,5193,-7.154007434844971,"[17512, 32616]",linear_weights
The situation is,0.0,casual_low_emotion,guess,5310,-2.432325601577759,"[17512, 32616]",linear_weights
The situation is,0.0,casual_low_emotion,stuff,4269,-6.037045478820801,"[17512, 32616]",linear_weights
The situation is,0.0,casual_high_emotion,OMG,21978,-1.617989182472229,"[17512, 32616]",linear_weights
The situation is,0.0,casual_high_emotion,totally,7110,1.1193172931671143,"[17512, 32616]",linear_weights
The situation is,0.0,casual_high_emotion,literally,8642,0.34262657165527344,"[17512, 32616]",linear_weights
The situation is,0.0,casual_high_emotion,seriously,7580,0.16346096992492676,"[17512, 32616]",linear_weights
The situation is,0.0,casual_high_emotion,honestly,14483,-1.8071727752685547,"[17512, 32616]",linear_weights
The situation is,0.0,casual_high_emotion,really,1196,3.93696928024292,"[17512, 32616]",linear_weights
The situation is,0.0,casual_high_emotion,absolutely,6270,0.9162396192550659,"[17512, 32616]",linear_weights
The situation is,0.0,casual_high_emotion,incredibly,9301,1.381497859954834,"[17512, 32616]",linear_weights
The situation is,1.0,formal_low_emotion,perhaps,4153,0.46935808658599854,"[17512, 32616]",linear_weights
The situation is,1.0,formal_low_emotion,may,754,0.13700604438781738,"[17512, 32616]",linear_weights
The situation is,1.0,formal_low_emotion,however,2480,0.19996941089630127,"[17512, 32616]",linear_weights
The situation is,1.0,formal_low_emotion,therefore,4320,-1.0169132947921753,"[17512, 32616]",linear_weights
The situation is,1.0,formal_low_emotion,consequently,23995,-3.9816932678222656,"[17512, 32616]",linear_weights
The situation is,1.0,formal_low_emotion,moreover,541,2.66304874420166,"[17512, 32616]",linear_weights
The situation is,1.0,formal_low_emotion,accordingly,17159,-5.556465148925781,"[17512, 32616]",linear_weights
The situation is,1.0,formal_low_emotion,furthermore,2134,4.222172260284424,"[17512, 32616]",linear_weights
The situation is,1.0,formal_high_emotion,profoundly,29160,-4.7366838455200195,"[17512, 32616]",linear_weights
The situation is,1.0,formal_high_emotion,devastated,27668,-3.709967613220215,"[17512, 32616]",linear_weights
The situation is,1.0,formal_high_emotion,magnificent,16773,-6.083095073699951,"[17512, 32616]",linear_weights
The situation is,1.0,formal_high_emotion,appalling,573,-0.3312418460845947,"[17512, 32616]",linear_weights
The situation is,1.0,formal_high_emotion,extraordinary,10035,-0.27484047412872314,"[17512, 32616]",linear_weights
The situation is,1.0,formal_high_emotion,overwhelming,11734,0.35706979036331177,"[17512, 32616]",linear_weights
The situation is,1.0,formal_high_emotion,catastrophic,24769,-1.0999763011932373,"[17512, 32616]",linear_weights
The situation is,1.0,formal_high_emotion,triumphant,15511,-6.288301467895508,"[17512, 32616]",linear_weights
The situation is,1.0,casual_low_emotion,yeah,12191,-5.940290451049805,"[17512, 32616]",linear_weights
The situation is,1.0,casual_low_emotion,okay,10989,-0.13982224464416504,"[17512, 32616]",linear_weights
The situation is,1.0,casual_low_emotion,kinda,21775,-1.6115351915359497,"[17512, 32616]",linear_weights
The situation is,1.0,casual_low_emotion,basically,8087,-1.2414754629135132,"[17512, 32616]",linear_weights
The situation is,1.0,casual_low_emotion,anyway,8668,-2.0258936882019043,"[17512, 32616]",linear_weights
The situation is,1.0,casual_low_emotion,whatever,5193,-7.154007434844971,"[17512, 32616]",linear_weights
The situation is,1.0,casual_low_emotion,guess,5310,-2.432325601577759,"[17512, 32616]",linear_weights
The situation is,1.0,casual_low_emotion,stuff,4269,-6.037045478820801,"[17512, 32616]",linear_weights
The situation is,1.0,casual_high_emotion,OMG,21978,-1.617989182472229,"[17512, 32616]",linear_weights
The situation is,1.0,casual_high_emotion,totally,7110,1.1193172931671143,"[17512, 32616]",linear_weights
The situation is,1.0,casual_high_emotion,literally,8642,0.34262657165527344,"[17512, 32616]",linear_weights
The situation is,1.0,casual_high_emotion,seriously,7580,0.16346096992492676,"[17512, 32616]",linear_weights
The situation is,1.0,casual_high_emotion,honestly,14483,-1.8071727752685547,"[17512, 32616]",linear_weights
The situation is,1.0,casual_high_emotion,really,1196,3.93696928024292,"[17512, 32616]",linear_weights
The situation is,1.0,casual_high_emotion,absolutely,6270,0.9162396192550659,"[17512, 32616]",linear_weights
The situation is,1.0,casual_high_emotion,incredibly,9301,1.381497859954834,"[17512, 32616]",linear_weights
The situation is,2.0,formal_low_emotion,perhaps,4153,0.46935808658599854,"[17512, 32616]",linear_weights
The situation is,2.0,formal_low_emotion,may,754,0.13700604438781738,"[17512, 32616]",linear_weights
The situation is,2.0,formal_low_emotion,however,2480,0.19996941089630127,"[17512, 32616]",linear_weights
The situation is,2.0,formal_low_emotion,therefore,4320,-1.0169132947921753,"[17512, 32616]",linear_weights
The situation is,2.0,formal_low_emotion,consequently,23995,-3.9816932678222656,"[17512, 32616]",linear_weights
The situation is,2.0,formal_low_emotion,moreover,541,2.66304874420166,"[17512, 32616]",linear_weights
The situation is,2.0,formal_low_emotion,accordingly,17159,-5.556465148925781,"[17512, 32616]",linear_weights
The situation is,2.0,formal_low_emotion,furthermore,2134,4.222172260284424,"[17512, 32616]",linear_weights
The situation is,2.0,formal_high_emotion,profoundly,29160,-4.7366838455200195,"[17512, 32616]",linear_weights
The situation is,2.0,formal_high_emotion,devastated,27668,-3.709967613220215,"[17512, 32616]",linear_weights
The situation is,2.0,formal_high_emotion,magnificent,16773,-6.083095073699951,"[17512, 32616]",linear_weights
The situation is,2.0,formal_high_emotion,appalling,573,-0.3312418460845947,"[17512, 32616]",linear_weights
The situation is,2.0,formal_high_emotion,extraordinary,10035,-0.27484047412872314,"[17512, 32616]",linear_weights
The situation is,2.0,formal_high_emotion,overwhelming,11734,0.35706979036331177,"[17512, 32616]",linear_weights
The situation is,2.0,formal_high_emotion,catastrophic,24769,-1.0999763011932373,"[17512, 32616]",linear_weights
The situation is,2.0,formal_high_emotion,triumphant,15511,-6.288301467895508,"[17512, 32616]",linear_weights
The situation is,2.0,casual_low_emotion,yeah,12191,-5.940290451049805,"[17512, 32616]",linear_weights
The situation is,2.0,casual_low_emotion,okay,10989,-0.13982224464416504,"[17512, 32616]",linear_weights
The situation is,2.0,casual_low_emotion,kinda,21775,-1.6115351915359497,"[17512, 32616]",linear_weights
The situation is,2.0,casual_low_emotion,basically,8087,-1.2414754629135132,"[17512, 32616]",linear_weights
The situation is,2.0,casual_low_emotion,anyway,8668,-2.0258936882019043,"[17512, 32616]",linear_weights
The situation is,2.0,casual_low_emotion,whatever,5193,-7.154007434844971,"[17512, 32616]",linear_weights
The situation is,2.0,casual_low_emotion,guess,5310,-2.432325601577759,"[17512, 32616]",linear_weights
The situation is,2.0,casual_low_emotion,stuff,4269,-6.037045478820801,"[17512, 32616]",linear_weights
The situation is,2.0,casual_high_emotion,OMG,21978,-1.617989182472229,"[17512, 32616]",linear_weights
The situation is,2.0,casual_high_emotion,totally,7110,1.1193172931671143,"[17512, 32616]",linear_weights
The situation is,2.0,casual_high_emotion,literally,8642,0.34262657165527344,"[17512, 32616]",linear_weights
The situation is,2.0,casual_high_emotion,seriously,7580,0.16346096992492676,"[17512, 32616]",linear_weights
The situation is,2.0,casual_high_emotion,honestly,14483,-1.8071727752685547,"[17512, 32616]",linear_weights
The situation is,2.0,casual_high_emotion,really,1196,3.93696928024292,"[17512, 32616]",linear_weights
The situation is,2.0,casual_high_emotion,absolutely,6270,0.9162396192550659,"[17512, 32616]",linear_weights
