prompt,word,token_id,logit_value
I think that,perhaps,4153,-3.4264650344848633
I think that,may,754,-3.4595108032226562
I think that,however,2480,-7.635200500488281
I think that,therefore,4320,-6.986485481262207
I think that,consequently,23995,-8.954620361328125
I think that,moreover,541,-3.5333404541015625
I think that,accordingly,17159,-11.322607040405273
I think that,furthermore,2134,-7.126352310180664
I think that,profoundly,29160,-11.069070816040039
I think that,devastated,27668,-12.936779022216797
I think that,magnificent,16773,-10.939088821411133
I think that,appalling,573,-7.8128228187561035
I think that,extraordinary,10035,-9.726969718933105
I think that,overwhelming,11734,-10.104682922363281
I think that,catastrophic,24769,-11.116552352905273
I think that,triumphant,15511,-9.858489990234375
I think that,yeah,12191,-7.097095966339111
I think that,okay,10989,-8.729053497314453
I think that,kinda,21775,-8.13972282409668
I think that,basically,8087,-5.6345906257629395
I think that,anyway,8668,-7.652096748352051
I think that,whatever,5193,-4.981656551361084
I think that,guess,5310,-10.483680725097656
I think that,stuff,4269,-7.0433268547058105
I think that,OMG,21978,-8.500357627868652
I think that,totally,7110,-7.674742698669434
I think that,literally,8642,-7.227522850036621
I think that,seriously,7580,-7.733648300170898
I think that,honestly,14483,-7.450782775878906
I think that,really,1196,-4.4424920082092285
I think that,absolutely,6270,-6.9572038650512695
I think that,incredibly,9301,-9.666913032531738
The situation is,perhaps,4153,-0.26814576983451843
The situation is,may,754,-3.668600082397461
The situation is,however,2480,-1.6606298685073853
The situation is,therefore,4320,-0.44357118010520935
The situation is,consequently,23995,-4.168165683746338
The situation is,moreover,541,3.047671318054199
The situation is,accordingly,17159,-5.012086868286133
The situation is,furthermore,2134,2.012439012527466
The situation is,profoundly,29160,-2.919332504272461
The situation is,devastated,27668,-4.646175861358643
The situation is,magnificent,16773,-5.090734481811523
The situation is,appalling,573,-0.9339501857757568
The situation is,extraordinary,10035,-0.38856691122055054
The situation is,overwhelming,11734,-0.6895617246627808
The situation is,catastrophic,24769,-0.49839815497398376
The situation is,triumphant,15511,-6.830020904541016
The situation is,yeah,12191,-8.522269248962402
The situation is,okay,10989,-2.5824007987976074
The situation is,kinda,21775,-3.717254877090454
The situation is,basically,8087,-0.4025237560272217
The situation is,anyway,8668,-3.930324077606201
The situation is,whatever,5193,-5.484158992767334
The situation is,guess,5310,-6.4499921798706055
The situation is,stuff,4269,-6.588716983795166
The situation is,OMG,21978,-6.833482265472412
The situation is,totally,7110,0.3738549053668976
The situation is,literally,8642,-1.541167140007019
The situation is,seriously,7580,-0.6531944870948792
The situation is,honestly,14483,-3.4171605110168457
The situation is,really,1196,2.2891790866851807
The situation is,absolutely,6270,0.5819551944732666
The situation is,incredibly,9301,0.05244988203048706
My opinion on this is,perhaps,4153,-2.0148797035217285
My opinion on this is,may,754,-2.940929412841797
My opinion on this is,however,2480,-2.974113702774048
My opinion on this is,therefore,4320,-3.192549705505371
My opinion on this is,consequently,23995,-7.586023807525635
My opinion on this is,moreover,541,0.4573709964752197
My opinion on this is,accordingly,17159,-7.1700758934021
My opinion on this is,furthermore,2134,-2.7274653911590576
My opinion on this is,profoundly,29160,-4.739664554595947
My opinion on this is,devastated,27668,-8.1851806640625
My opinion on this is,magnificent,16773,-7.700285911560059
My opinion on this is,appalling,573,-4.015973091125488
My opinion on this is,extraordinary,10035,-5.651784896850586
My opinion on this is,overwhelming,11734,-3.0788872241973877
My opinion on this is,catastrophic,24769,-9.042304992675781
My opinion on this is,triumphant,15511,-9.208141326904297
My opinion on this is,yeah,12191,-4.154516696929932
My opinion on this is,okay,10989,-3.5926666259765625
My opinion on this is,kinda,21775,-0.9970846176147461
My opinion on this is,basically,8087,0.15577852725982666
My opinion on this is,anyway,8668,-5.087985992431641
My opinion on this is,whatever,5193,-2.3910722732543945
My opinion on this is,guess,5310,-4.636032581329346
My opinion on this is,stuff,4269,-5.173336982727051
My opinion on this is,OMG,21978,-7.377196311950684
My opinion on this is,totally,7110,-0.0034503936767578125
My opinion on this is,literally,8642,-3.345625877380371
My opinion on this is,seriously,7580,-3.108919858932495
My opinion on this is,honestly,14483,-2.434598922729492
My opinion on this is,really,1196,0.6370437145233154
My opinion on this is,absolutely,6270,-0.5967748165130615
My opinion on this is,incredibly,9301,-2.3000688552856445
It seems to me that,perhaps,4153,-3.7834203243255615
It seems to me that,may,754,-6.558856010437012
It seems to me that,however,2480,-6.733831405639648
It seems to me that,therefore,4320,-7.575307846069336
It seems to me that,consequently,23995,-9.266164779663086
It seems to me that,moreover,541,-2.162226438522339
It seems to me that,accordingly,17159,-11.395167350769043
It seems to me that,furthermore,2134,-7.1496500968933105
It seems to me that,profoundly,29160,-10.230199813842773
It seems to me that,devastated,27668,-12.66862678527832
It seems to me that,magnificent,16773,-10.280950546264648
It seems to me that,appalling,573,-6.699881553649902
It seems to me that,extraordinary,10035,-7.9374518394470215
It seems to me that,overwhelming,11734,-8.362314224243164
It seems to me that,catastrophic,24769,-9.611364364624023
It seems to me that,triumphant,15511,-9.731598854064941
It seems to me that,yeah,12191,-7.819634437561035
It seems to me that,okay,10989,-9.075032234191895
It seems to me that,kinda,21775,-9.178266525268555
It seems to me that,basically,8087,-5.732141494750977
It seems to me that,anyway,8668,-7.206634044647217
It seems to me that,whatever,5193,-3.949871301651001
It seems to me that,guess,5310,-9.55056381225586
It seems to me that,stuff,4269,-6.96617317199707
It seems to me that,OMG,21978,-8.495765686035156
It seems to me that,totally,7110,-8.289684295654297
It seems to me that,literally,8642,-7.228537082672119
It seems to me that,seriously,7580,-8.281776428222656
It seems to me that,honestly,14483,-7.538003921508789
It seems to me that,really,1196,-5.159128665924072
It seems to me that,absolutely,6270,-6.326594352722168
It seems to me that,incredibly,9301,-8.313106536865234
The best approach would be,perhaps,4153,-3.299746036529541
The best approach would be,may,754,-7.517697334289551
The best approach would be,however,2480,-5.586071968078613
The best approach would be,therefore,4320,-5.221523284912109
The best approach would be,consequently,23995,-9.727651596069336
The best approach would be,moreover,541,-3.995177745819092
The best approach would be,accordingly,17159,-8.390433311462402
The best approach would be,furthermore,2134,-6.331411361694336
The best approach would be,profoundly,29160,-11.619141578674316
The best approach would be,devastated,27668,-13.199689865112305
The best approach would be,magnificent,16773,-11.809131622314453
The best approach would be,appalling,573,-6.109890937805176
The best approach would be,extraordinary,10035,-9.461437225341797
The best approach would be,overwhelming,11734,-7.406107425689697
The best approach would be,catastrophic,24769,-10.247428894042969
The best approach would be,triumphant,15511,-12.734952926635742
The best approach would be,yeah,12191,-8.607112884521484
The best approach would be,okay,10989,-8.53203010559082
The best approach would be,kinda,21775,-7.953155994415283
The best approach would be,basically,8087,-4.894665718078613
The best approach would be,anyway,8668,-7.209830284118652
The best approach would be,whatever,5193,-5.3750715255737305
The best approach would be,guess,5310,-9.094284057617188
The best approach would be,stuff,4269,-8.093011856079102
The best approach would be,OMG,21978,-9.290653228759766
The best approach would be,totally,7110,-5.491815567016602
The best approach would be,literally,8642,-5.999394416809082
The best approach would be,seriously,7580,-8.334808349609375
The best approach would be,honestly,14483,-6.998013496398926
The best approach would be,really,1196,-3.9353811740875244
The best approach would be,absolutely,6270,-5.975326061248779
The best approach would be,incredibly,9301,-8.564485549926758
